receipt_id,budget_year,project_code,official_title,plain_language_title,plain_language_description,amount,currency,sector,ministry,department,agency,state,area_council,community,location_raw,location_confidence,data_confidence,source_document,source_page,source_section,source_excerpt,source_url
PR-NG-FCT-2026-000014,2026,ERGP23232491,ONE BLOCK OF 3 CLASSROOMS BUNGALOW VICE PRINCIPAL QUARTERS,,,28000000,NGN,education,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232491 ONE BLOCK OF 3 CLASSROOMS BUNGALOW VICE PRINCIPAL QUARTERS ONGOING 28,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000015,2026,ERGP23232492,LANDSCAPING OF THE ADMINISTRATIVE GROUND FLOOR/LAND SURFACE OF 672M WITH INTERLOCK BASEMENT,,,20300000,NGN,education,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232492 LANDSCAPING OF THE ADMINISTRATIVE GROUND FLOOR/LAND SURFACE OF 672M WITH INTERLOCK BASEMENT ONGOING 20,300,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000016,2026,ERGP23232495,CONSTRUCTION AND REHABILITATION OF 410 METERS RAOD NETWORK WITHIN THE COLLEGE FROM THE MAIN GATE,,,44100000,NGN,roads_transport,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232495 CONSTRUCTION AND REHABILITATION OF 410 METERS RAOD NETWORK WITHIN THE COLLEGE FROM THE MAIN GATE ONGOING 44,100,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000017,2026,ERGP23232497,CONSTRUCTION OF 235 METERS DRAINAGE ALONG THE NEW ROAD NETWORK WITHIN THE COLLEGE,,,24500000,NGN,roads_transport,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232497 CONSTRUCTION OF 235 METERS DRAINAGE ALONG THE NEW ROAD NETWORK WITHIN THE COLLEGE ONGOING 24,500,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000018,2026,ERGP23232519,6 (SIX) SURGE PROTECTORS,,,7000000,NGN,education,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232519 6 (SIX) SURGE PROTECTORS ONGOING 7,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000019,2026,ERGP23226149,RENOVATION OF 2 BLOCKS OF SENIOR STUDENTS HOSTEL,,,56000000,NGN,education,Federal Ministry of Education,,FGGC Bwari,Federal Capital Territory,Bwari,,FGGC Bwari,high,high,2026 Appropriation Act Details,"PDF 2163; printed page 2132","0517026050 FGGC BWARI","0517026050 FGGC BWARI; ERGP23226149 RENOVATION OF 2 BLOCKS OF SENIOR STUDENTS HOSTEL ONGOING 56,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000020,2026,ERGP23226167,RENOVATION OF 2 BLOCKS OF JUNIOR STUDENTS HOSTEL,,,50400000,NGN,education,Federal Ministry of Education,,FGGC Bwari,Federal Capital Territory,Bwari,,FGGC Bwari,high,high,2026 Appropriation Act Details,"PDF 2163; printed page 2132","0517026050 FGGC BWARI","0517026050 FGGC BWARI; ERGP23226167 RENOVATION OF 2 BLOCKS OF JUNIOR STUDENTS HOSTEL ONGOING 50,400,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000021,2026,ERGP23226182,PROVISION OF 180 NOS STUDENTS DOUBLE BUNK BEDS,,,31500000,NGN,education,Federal Ministry of Education,,FGGC Bwari,Federal Capital Territory,Bwari,,FGGC Bwari,high,high,2026 Appropriation Act Details,"PDF 2163; printed page 2132","0517026050 FGGC BWARI","0517026050 FGGC BWARI; ERGP23226182 PROVISION OF 180 NOS STUDENTS DOUBLE BUNK BEDS ONGOING 31,500,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000022,2026,ERGP23226203,PROVISION OF 300 NOS STUDENTS CLASSROOM LOCKERS AND CHAIRS,,,13300000,NGN,education,Federal Ministry of Education,,FGGC Bwari,Federal Capital Territory,Bwari,,FGGC Bwari,high,high,2026 Appropriation Act Details,"PDF 2163; printed page 2132","0517026050 FGGC BWARI","0517026050 FGGC BWARI; ERGP23226203 PROVISION OF 300 NOS STUDENTS CLASSROOM LOCKERS AND CHAIRS ONGOING 13,300,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000023,2026,ERGP23226238,RENOVATION OF TECHNICAL WORKSHOP,,,28000000,NGN,education,Federal Ministry of Education,,FGGC Bwari,Federal Capital Territory,Bwari,,FGGC Bwari,high,high,2026 Appropriation Act Details,"PDF 2163; printed page 2132","0517026050 FGGC BWARI","0517026050 FGGC BWARI; ERGP23226238 RENOVATION OF TECHNICAL WORKSHOP ONGOING 28,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000024,2026,ERGP23226256,CONSTRUCTION OF 1 NO HYBRID SOLAR BOREHOLE,,,17500000,NGN,water_sanitation,Federal Ministry of Education,,FGGC Bwari,Federal Capital Territory,Bwari,,FGGC Bwari,high,high,2026 Appropriation Act Details,"PDF 2163; printed page 2132","0517026050 FGGC BWARI","0517026050 FGGC BWARI; ERGP23226256 CONSTRUCTION OF 1 NO HYBRID SOLAR BOREHOLE ONGOING 17,500,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000025,2026,ERGP23226281,PROVISION AND INSTALLATION OF 145 SOLAR FLOOD LIGHTS AT BOTH SENIOR AND JUNIOR STUDENTS HOSTELS,,,20300000,NGN,community_infrastructure,Federal Ministry of Education,,FGGC Bwari,Federal Capital Territory,Bwari,,FGGC Bwari,high,high,2026 Appropriation Act Details,"PDF 2163; printed page 2132","0517026050 FGGC BWARI","0517026050 FGGC BWARI; ERGP23226281 PROVISION AND INSTALLATION OF 145 SOLAR FLOOD LIGHTS AT BOTH SENIOR AND JUNIOR STUDENTS HOSTELS ONGOING 20,300,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000026,2026,ERGP23226305,FENCING AND INTERLOCKING OF THE PRINCIPAL'S QUARTERS,,,17500000,NGN,education,Federal Ministry of Education,,FGGC Bwari,Federal Capital Territory,Bwari,,FGGC Bwari,high,high,2026 Appropriation Act Details,"PDF 2163; printed page 2132","0517026050 FGGC BWARI","0517026050 FGGC BWARI; ERGP23226305 FENCING AND INTERLOCKING OF THE PRINCIPAL'S QUARTERS ONGOING 17,500,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000027,2026,ERGP23226318,RENOVATION/REHABILITATION OF 1 NO 2 BEDROOM FLAT,,,13392505,NGN,education,Federal Ministry of Education,,FGGC Bwari,Federal Capital Territory,Bwari,,FGGC Bwari,high,high,2026 Appropriation Act Details,"PDF 2163; printed page 2132","0517026050 FGGC BWARI","0517026050 FGGC BWARI; ERGP23226318 RENOVATION/REHABILITATION OF 1 NO 2 BEDROOM FLAT ONGOING 13,392,505",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000028,2026,ERGP25167671,CONSTRUCTION OF HOSPITAL GATE PERIMETER FENCING,,,56000000,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA; ERGP25167671 CONSTRUCTION OF HOSPITAL GATE PERIMETER FENCING ONGOING 56,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000029,2026,ERGP25224015,PROCUREMENT OF MRI MACHINE,,,2100000000,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA; ERGP25224015 PROCUREMENT OF MRI MACHINE ONGOING 2,100,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000030,2026,ERGP25224023,CONSTRUCTION OF CRITICAL CARE NURSING HOSTEL,,,175000000,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA; ERGP25224023 CONSTRUCTION OF CRITICAL CARE NURSING HOSTEL ONGOING 175,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000031,2026,ERGP25224029,CONSTRUCTION OF AUDITORIUM,,,350000000,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA; ERGP25224029 CONSTRUCTION OF AUDITORIUM ONGOING 350,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000032,2026,ERGP25224061,PROVISION OF EMR,,,48006974,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA; ERGP25224061 PROVISION OF EMR ONGOING 48,006,974",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000033,2026,ERGP25225421,RENOVATION OF NHIS COMPLEX,,,56000000,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA; ERGP25225421 RENOVATION OF NHIS COMPLEX ONGOING 56,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000034,2026,ERGP25243682,"CONSTRUCTION AND EQUIPPING OF CRDIAC CENTRE IN UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",,,1020284222,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","ERGP25243682 CONSTRUCTION AND EQUIPPING OF CRDIAC CENTRE IN UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA ONGOING 1,020,284,222",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000035,2026,ERGP25243690,"CONSTRUCTION AND INSTALLATION OF MRI IN UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",,,1020284222,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","ERGP25243690 CONSTRUCTION AND INSTALLATION OF MRI IN UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA ONGOING 1,020,284,222",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000036,2026,ERGP25243698,"CONSTRUCTION AND EQUIPPING OF CBT IN UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",,,1020284222,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","ERGP25243698 CONSTRUCTION AND EQUIPPING OF CBT IN UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA ONGOING 1,020,284,222",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000037,2026,ERGP25243704,"CONSTRUCTION OF HOUSE OFFICERS QUARTERS IN UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA",,,1020284222,NGN,healthcare,Federal Ministry of Health and Social Welfare,,"University of Abuja Teaching Hospital, Gwagwalada",Federal Capital Territory,Gwagwalada,,"University of Abuja Teaching Hospital, Gwagwalada",high,high,2026 Appropriation Act Details,"PDF 2363; printed page 2332","0521026015 UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA","ERGP25243704 CONSTRUCTION OF HOUSE OFFICERS QUARTERS IN UNIVERSITY OF ABUJA TEACHING HOSPITAL, GWAGWALADA ONGOING 1,020,284,222",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000038,2026,ERGP27228930,"CONSTRUCTION OF CIVIC CENTRE AT KUCHIKO DISTRICT, BWARI",,,52500000,NGN,community_infrastructure,Federal Ministry of Housing and Urban Development,,,Federal Capital Territory,Bwari,Kuchiko,"Kuchiko District, Bwari",high,high,2026 Appropriation Act Details,"PDF 1617; printed page 1586","Federal Ministry of Housing and Urban Development - HQTRS","ERGP27228930 CONSTRUCTION OF CIVIC CENTRE AT KUCHIKO DISTRICT, BWARI ONGOING 52,500,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000039,2026,ERGP27228941,"PROVISION AND INSTALLATION OF SOLAR LIGHTS AT KADUNA STREET, KUCHIKO DISTRICT,BWARI",,,19320000,NGN,community_infrastructure,Federal Ministry of Housing and Urban Development,,,Federal Capital Territory,Bwari,Kuchiko,"Kaduna Street, Kuchiko District, Bwari",high,high,2026 Appropriation Act Details,"PDF 1617; printed page 1586","Federal Ministry of Housing and Urban Development - HQTRS","ERGP27228941 PROVISION AND INSTALLATION OF SOLAR LIGHTS AT KADUNA STREET, KUCHIKO DISTRICT,BWARI ONGOING 19,320,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000040,2026,ERGP27229099,"CONSTRUCTION OF BLOCK OF CLASSROOMS WITH TOILETS IN LEA PRIMARY SCH, GALADIMAWA, JAHI, AND NOMADIC SCH AT TUDUN FULANI. BWARI.",,,43400000,NGN,education,Federal Ministry of Housing and Urban Development,,,Federal Capital Territory,Bwari,"Tudun Fulani","LEA Primary School Galadimawa, Jahi, and Nomadic School at Tudun Fulani, Bwari",high,high,2026 Appropriation Act Details,"PDF 1617; printed page 1586","Federal Ministry of Housing and Urban Development - HQTRS","ERGP27229099 CONSTRUCTION OF BLOCK OF CLASSROOMS WITH TOILETS IN LEA PRIMARY SCH, GALADIMAWA, JAHI, AND NOMADIC SCH AT TUDUN FULANI. BWARI. ONGOING 43,400,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000041,2026,ERGP27229150,"CONSTRUCTION OF BOREHOLE, SOLAR LIGHTS AND LECTURE HALLS IN COLLEGE OF EDUCATION, ZUBA. FCT.",,,91000000,NGN,education,Federal Ministry of Housing and Urban Development,,,Federal Capital Territory,Gwagwalada,Zuba,"College of Education, Zuba, FCT",medium,high,2026 Appropriation Act Details,"PDF 1617; printed page 1586","Federal Ministry of Housing and Urban Development - HQTRS","ERGP27229150 CONSTRUCTION OF BOREHOLE, SOLAR LIGHTS AND LECTURE HALLS IN COLLEGE OF EDUCATION, ZUBA. FCT. ONGOING 91,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000042,2026,ERGP12230431,GENERAL MAINTENANCE REPAIRS OF GWAGWALADA - IZOM - NIGER STATE BORDER ROAD IN FCT - ABUJA.,,,52500000,NGN,roads_transport,Federal Ministry of Works,,,Federal Capital Territory,Gwagwalada,,"Gwagwalada - Izom - Niger State border road, FCT - Abuja",high,high,2026 Appropriation Act Details,"PDF 1582; printed page 1551",Federal Ministry of Works,"ERGP12230431 GENERAL MAINTENANCE REPAIRS OF GWAGWALADA - IZOM - NIGER STATE BORDER ROAD IN FCT - ABUJA. ONGOING 52,500,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000043,2026,ERGP12230434,GENERAL MAINTENANCE REPAIRS OF SULEJA - BWARI LAW SCHOOL ROAD IN FCT - ABUJA.,,,35000000,NGN,roads_transport,Federal Ministry of Works,,,Federal Capital Territory,Bwari,,"Suleja - Bwari Law School Road, FCT - Abuja",high,high,2026 Appropriation Act Details,"PDF 1582; printed page 1551",Federal Ministry of Works,"ERGP12230434 GENERAL MAINTENANCE REPAIRS OF SULEJA - BWARI LAW SCHOOL ROAD IN FCT - ABUJA. ONGOING 35,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000044,2026,ERGP12230439,GENERAL MAINTENANCE REPAIRS OF ABAJI - TOTO - NASSARAWA STATE BORDER ROAD IN FCT - ABUJA.,,,30394737,NGN,roads_transport,Federal Ministry of Works,,,Federal Capital Territory,Abaji,,"Abaji - Toto - Nassarawa State border road, FCT - Abuja",high,high,2026 Appropriation Act Details,"PDF 1582; printed page 1551",Federal Ministry of Works,"ERGP12230439 GENERAL MAINTENANCE REPAIRS OF ABAJI - TOTO - NASSARAWA STATE BORDER ROAD IN FCT - ABUJA. ONGOING 30,394,737",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000045,2026,ERGP20223505,"CONSTRUCTION OF STANDARD DOUBLE SIDE DRAINS ( 750MM X 750MM) AND REHABILITATION OF ACO/AMAC MAIN ACCESS ROAD USING CONCRETE TECHNOLOGY, SECTION 1, SABON - LUGBE, AIRPORT ROAD ABUJA",,,35000000,NGN,roads_transport,Federal Ministry of Environment,,,Federal Capital Territory,Abuja Municipal Area Council,"Sabon-Lugbe","ACO/AMAC main access road, Section 1, Sabon-Lugbe, Airport Road Abuja",high,high,2026 Appropriation Act Details,"PDF 2532; printed page 2501",Federal Ministry of Environment Headquarters,"ERGP20223505 CONSTRUCTION OF STANDARD DOUBLE SIDE DRAINS (750MM X 750MM) AND REHABILITATION OF ACO/AMAC MAIN ACCESS ROAD USING CONCRETE TECHNOLOGY, SECTION 1, SABON-LUGBE, AIRPORT ROAD ABUJA ONGOING 35,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
